"trait","subID","round","trialTotal","trialRun","valence","cluster.x","propT","selfResp","cueType","desirability","category","interpersonal","observability","prevalence","clusterName","cluster.y","outDegree","inDegree","between","eigen.vector","close","efficiency","transitivity","pageRank","Idx","aveCueF","aveCueTF","aveSD","sumCueF","choiceCueF","propCueF","SV_F","valEstF","Sim"
"Self-centered",100,1,1,1,1,1,1,2,1,3,3.733,4.25,5.111,5,"Rude",3,52,19,409.478800820781,0.299935854445569,0.00425531914893617,0.664278531925591,0.239034205231388,0.00720743052475093,247,0.37,359.466561692132,0.070259260146714,8.51,23,0.319444444444444,0.122462073922125,0.258538145487548,0.137404542642
"Annoying",100,1,2,2,1,1,1,2,1,2.476,3.667,4.625,6.222,4.65,"Rude",3,18,63,447.065321264639,1,0.00444444444444444,0.62962962962963,0.237345679012346,0.0182113972976436,155,0.37,359.466561692132,0.070259260146714,8.51,23,0.319444444444444,NA,NA,NA
"Reckless",100,1,3,3,1,1,1,2,1,3,3.667,3.875,5.667,3.7,"Rude",3,35,18,182.697122170204,0.266365996010058,0.00408163265306122,0.688795518207283,0.296806966618287,0.00460318855657695,239,0.37,359.466561692132,0.070259260146714,8.51,23,0.319444444444444,0.130380841526119,0.262936750212411,0.143980400319486
"Gullible",100,1,4,4,1,2,2,4,2,2.667,3.533,4.875,4.5,3.6,"Short-sighted",2,14,13,94.4988940324385,0.143877288042456,0.0037037037037037,0.67032967032967,0.284900284900285,0.00472076619886332,191,0.491666666666667,213.301684670709,0.0988909084026731,8.85,18,0.409090909090909,0.0976737988815521,0.223621979929213,0.101193212261313
"Headstrong",100,1,5,5,1,1,1,6,1,3.81,3.533,4.125,5.278,3.85,"Rude",3,41,9,77.3130741380482,0.123991011983265,0.00396825396825397,0.720325203252032,0.321632653061224,0.00270813605226142,193,0.37,359.466561692132,0.070259260146714,8.51,23,0.319444444444444,0.123695417827082,0.310662181212003,0.140316467532856
"Negative",100,1,6,6,1,3,3,3,3,2.095,4.333,4.5,5.444,4.3,"Thoughtless",1,46,38,586.525725290515,0.536811961870846,0.00442477876106195,0.69549114331723,0.215146299483649,0.00996331791958123,227,0.633333333333333,410.116867074512,0.0773366173358544,9.5,15,0.75,0.134859746500267,0.207952709586024,0.142450947618217
"Verbal",100,1,7,7,2,6,1,4,4,5.562,1.888,5.389,5.947,5.421,"Outgoing",4,9,13,36.876096075773,0.155994056215584,0.00347222222222222,0.75,0.298701298701299,0.0039575143803844,140,0.368666666666667,276.968751767392,0.0717999867356401,5.53,15,0.483870967741935,0.112231673417686,0.415555018307319,0.11673658964688
"Charming",100,1,8,8,2,6,1,5,4,6.25,1.682,5.722,4.889,4.895,"Outgoing",4,18,41,235.45746586943,0.722429090789162,0.00398406374501992,0.737472766884532,0.196376388077148,0.0152593847982981,7,0.368666666666667,276.968751767392,0.0717999867356401,5.53,15,0.483870967741935,0.215341673130308,0.516520458244053,0.205616927736214
"Rowdy",100,1,9,9,1,1,1,2,1,3.381,3.533,4.125,5.889,3.45,"Rude",3,23,20,143.566897608615,0.343905561936848,0.00383141762452107,0.706192358366271,0.259136212624585,0.00621695225047842,243,0.37,359.466561692132,0.070259260146714,8.51,23,0.319444444444444,0.112182087030502,0.277023324635891,0.127234814236854
"Gossipy",100,1,10,10,1,1,1,3,1,2.714,3.2,4.562,5.556,4.75,"Rude",3,9,7,9.25107224898029,0.0868773861614042,0.00353356890459364,0.736111111111111,0.316666666666667,0.00224524347611131,190,0.37,359.466561692132,0.070259260146714,8.51,23,0.319444444444444,NA,NA,NA
"Eccentric",100,1,11,11,1,1,1,4,1,4.048,4.533,4.312,5.167,3.15,"Rude",3,5,16,31.5790428233316,0.180965464035315,0.00363636363636364,0.783333333333333,0.280952380952381,0.00535881282951193,183,0.37,359.466561692132,0.070259260146714,8.51,23,0.319444444444444,NA,NA,NA
"Rough",100,1,12,12,1,1,1,4,1,3,3.933,4.688,5.167,3.35,"Rude",3,29,21,141.924426822384,0.358542038542119,0.00392156862745098,0.707307060755337,0.260408163265306,0.00569821632278072,242,0.37,359.466561692132,0.070259260146714,8.51,23,0.319444444444444,NA,NA,NA
"Wishy-washy",100,1,13,13,1,2,2,1,2,2.857,4.533,4.312,4.389,3.7,"Short-sighted",2,15,39,206.866988961087,0.528689779312193,0.004,0.736507936507936,0.232704402515723,0.0133229346872702,294,0.491666666666667,213.301684670709,0.0988909084026731,8.85,18,0.409090909090909,0.126189155456245,0.251527213591707,0.131375942244849
"Extraverted",100,1,14,14,2,6,1,2,4,5.562,1.7,5.389,5.789,5.053,"Outgoing",4,5,23,31.311207941617,0.340930789552028,0.003584229390681,0.9,0.285714285714286,0.0069361976529027,39,0.368666666666667,276.968751767392,0.0717999867356401,5.53,15,0.483870967741935,0.147147700342215,0.434949677764964,0.150919324611455
"Troublesome",100,1,15,15,1,1,1,1,1,2.619,3.733,4.25,5.444,3.8,"Rude",3,28,34,282.870053122817,0.481237270245008,0.00413223140495868,0.655643738977072,0.241671073506081,0.00875493594702821,262,0.37,359.466561692132,0.070259260146714,8.51,23,0.319444444444444,NA,NA,NA
"Helpful",100,1,16,16,2,4,3,7,6,6.562,1.091,5.667,5.632,5.053,"Respectful",2,30,18,113.56123205138,0.359138201649697,0.00389105058365759,0.73639846743295,0.289007092198582,0.005042467415703,59,0.652307692307692,581.749582274486,0.0836805183408753,25.44,39,0.684210526315789,0.237886809683971,0.548857034501884,0.210775139633653
"Glad",100,1,17,17,2,4,3,5,6,6.062,1.51,3.611,4.684,5.158,"Respectful",4,8,10,16.0522653816854,0.196436842804865,0.00338983050847458,0.68452380952381,0.437908496732026,0.0036977180149033,52,0.652307692307692,581.749582274486,0.0836805183408753,25.44,39,0.684210526315789,0.154262458173214,0.470654124113568,0.144151126207799
"Inconsistent",100,1,18,18,1,2,2,3,2,2.381,4.067,4.125,5.111,3.95,"Short-sighted",2,21,9,68.3265840546174,0.115892345497361,0.0037037037037037,0.723015873015873,0.296551724137931,0.00431029360013328,206,0.491666666666667,213.301684670709,0.0988909084026731,8.85,18,0.409090909090909,0.104311359087213,0.209146521160473,0.111287571853174
"Skeptical",100,1,19,19,1,3,3,4,3,4.048,3.133,4.312,4.444,4.2,"Thoughtless",1,24,20,142.841681402452,0.226928321868452,0.00390625,0.642512077294686,0.24630021141649,0.00420701433704999,253,0.633333333333333,410.116867074512,0.0773366173358544,9.5,15,0.75,0.122405279004065,0.325059715382633,0.127852754926055
"Unassuming",100,1,20,20,2,5,2,2,5,5.125,1.741,4.167,4.263,4.368,"Thoughtful",3,10,61,258.75856421638,0.983192968711461,0.00436681222707424,0.744444444444444,0.222132796780684,0.01790429839578,133,0.4765,314.21739838259,0.0823519405069678,9.53,20,0.555555555555556,0.212740674697053,0.443632698989172,0.19577364349758
"Sarcastic",100,1,21,21,1,1,1,6,1,3.81,3.533,4.562,5.333,4.15,"Rude",3,12,11,54.9475836829268,0.177931156442936,0.0036101083032491,0.700757575757576,0.292490118577075,0.00440989556939632,245,0.37,359.466561692132,0.070259260146714,8.51,23,0.319444444444444,0.0779195236239387,0.285235236692852,0.0904492287239162
"Uptight",100,1,22,22,1,3,3,2,3,2.81,3.4,4.312,5.167,4.15,"Thoughtless",1,18,10,30.4637549188194,0.122069194631713,0.00371747211895911,0.652505446623094,0.322751322751323,0.00266175481099303,289,0.633333333333333,410.116867074512,0.0773366173358544,9.5,15,0.75,0.0980423625551411,0.232907902740674,0.102793634393324
"Original",100,1,23,23,2,5,2,6,5,5.938,1.228,4.111,4.316,4.316,"Thoughtful",3,19,15,106.408264081768,0.232496612200901,0.00378787878787879,0.583820662768031,0.244206773618538,0.00404935409793512,85,0.4765,314.21739838259,0.0823519405069678,9.53,20,0.555555555555556,0.132932561729497,0.450931490227816,0.126380039282196
"Restless",100,1,24,24,1,3,3,2,3,2.667,3.933,3.562,5.278,4.05,"Thoughtless",1,21,10,59.3282277549507,0.106733433068562,0.00373134328358209,0.670634920634921,0.294623655913978,0.00273810897791083,240,0.633333333333333,410.116867074512,0.0773366173358544,9.5,15,0.75,0.113880334605084,0.232624156552157,0.116592661376138
"Hospitable",100,1,25,25,2,4,3,7,6,6,1.766,5.444,5.263,5.158,"Respectful",2,12,35,89.4934410710167,0.698002012053014,0.00395256916996047,0.707070707070707,0.324699352451434,0.0119851319651691,61,0.652307692307692,581.749582274486,0.0836805183408753,25.44,39,0.684210526315789,0.24040044559983,0.514563529007419,0.215414367921324
"Lenient",100,1,26,26,2,4,3,5,6,5.375,1.326,4.722,5,4.316,"Respectful",2,10,17,27.4326067314081,0.31505850161319,0.00363636363636364,0.737037037037037,0.401709401709402,0.00505426259407404,69,0.652307692307692,581.749582274486,0.0836805183408753,25.44,39,0.684210526315789,0.198410832037695,0.451549181999289,0.176010131311469
"Sentimental",100,1,27,27,2,4,3,6,6,5.5,1.886,4.333,4.789,4.947,"Respectful",2,7,16,22.8177861780768,0.286397479610955,0.00350877192982456,0.928571428571429,0.268774703557312,0.00591624442302349,117,0.652307692307692,581.749582274486,0.0836805183408753,25.44,39,0.684210526315789,0.150854461239042,0.433071353984046,0.133379182253315
"Self-indulgent",100,1,28,28,1,1,1,6,1,3.429,4,4.562,5.056,4.55,"Rude",3,30,17,176.418821549522,0.286702218986109,0.00395256916996047,0.654406130268199,0.270120259019426,0.00532352781824766,249,0.37,359.466561692132,0.070259260146714,8.51,23,0.319444444444444,0.111830809535794,0.27987643638566,0.127677679139952
"Good-humored",100,1,29,29,2,6,1,6,4,6,1.6,5.167,5.579,4.842,"Outgoing",4,22,12,122.239225916067,0.209668948678708,0.00374531835205993,0.75036075036075,0.272727272727273,0.00476972710675787,54,0.368666666666667,276.968751767392,0.0717999867356401,5.53,15,0.483870967741935,0.193367066813467,0.488438094785603,0.184805577435912
"Theatrical",100,1,30,30,1,1,1,3,1,4.048,3.133,4.75,5.667,3.5,"Rude",3,17,12,55.6926286712813,0.202402900567982,0.00371747211895911,0.602941176470588,0.285714285714286,0.00461960440606493,259,0.37,359.466561692132,0.070259260146714,8.51,23,0.319444444444444,NA,NA,NA
"Open-minded",100,1,31,31,2,5,2,7,5,5.75,1.786,5,4.737,4.947,"Thoughtful",3,36,20,293.97514162599,0.384967910049679,0.00401606425702811,0.612566137566138,0.196103896103896,0.0068964810996592,82,0.4765,314.21739838259,0.0823519405069678,9.53,20,0.555555555555556,0.184960086318661,0.46789208370298,0.171549287447841
"Stern",100,1,32,32,1,1,1,5,1,3.619,3.067,3.688,5.333,3.7,"Rude",3,28,14,106.011657812335,0.250080155221568,0.00390625,0.712081128747795,0.367015098722416,0.00466927824163988,256,0.37,359.466561692132,0.070259260146714,8.51,23,0.319444444444444,0.120854270037531,0.296954588051227,0.134999240907239
"Dominating",100,1,33,33,1,1,1,4,1,3.476,3.533,4.938,6,3.7,"Rude",3,24,30,176.983652736753,0.434082379554527,0.00390625,0.745772946859903,0.227113906359189,0.00701900772435603,181,0.37,359.466561692132,0.070259260146714,8.51,23,0.319444444444444,NA,NA,NA
"Unafraid",100,1,34,34,2,5,2,3,5,5.688,2.262,3.556,4.211,3.947,"Thoughtful",3,15,11,76.5854685616026,0.150943031490221,0.00364963503649635,0.636507936507936,0.261538461538462,0.00462307045942263,132,0.4765,314.21739838259,0.0823519405069678,9.53,20,0.555555555555556,0.132645370314088,0.434895744428331,0.126365475831974
"Wordy",100,1,35,35,1,1,1,6,1,3.714,4.2,5,5.444,3.15,"Rude",3,6,22,70.8860762747943,0.302014298256315,0.00373134328358209,0.4,0.261904761904762,0.00671003548800556,295,0.37,359.466561692132,0.070259260146714,8.51,23,0.319444444444444,NA,NA,NA
"Bragging",100,1,36,36,1,1,1,4,1,2.905,3.133,4.625,5.944,4.45,"Rude",3,6,24,33.5149470458444,0.389622627018496,0.00373134328358209,0.5,0.367816091954023,0.00854667833634425,162,0.37,359.466561692132,0.070259260146714,8.51,23,0.319444444444444,0.0984742386421577,0.239180759042931,0.113992883151227
"Frank",100,1,37,37,2,5,2,5,5,5.125,1.741,5.167,5.105,4.421,"Thoughtful",3,20,11,112.946796588681,0.154999071244628,0.00374531835205993,0.67280701754386,0.243010752688172,0.00422416809416604,45,0.4765,314.21739838259,0.0823519405069678,9.53,20,0.555555555555556,0.133534268606393,0.399636247837591,0.12881198035139
"Considerate",100,1,38,38,2,4,3,6,6,6.25,1.629,6.111,5.632,5.158,"Respectful",2,29,31,180.79820124304,0.638310971542253,0.004,0.770935960591133,0.26271186440678,0.00820050334479712,19,0.652307692307692,581.749582274486,0.0836805183408753,25.44,39,0.684210526315789,0.257685736824831,0.540041138222427,0.228088824305209
"Rigid",100,1,39,39,1,1,1,6,1,3,3.333,4.25,4.556,4.15,"Rude",3,26,30,214.83838912599,0.449875825087548,0.00401606425702811,0.726153846153846,0.26038961038961,0.00720856509519355,241,0.37,359.466561692132,0.070259260146714,8.51,23,0.319444444444444,0.129318684482645,0.262346758281392,0.142857115905515
"Profane",100,1,40,40,1,1,1,2,1,3.238,3.667,4.125,4.778,3.45,"Rude",3,21,16,69.0936690192517,0.237267903099561,0.00381679389312977,0.734126984126984,0.331831831831832,0.00423606141451691,237,0.37,359.466561692132,0.070259260146714,8.51,23,0.319444444444444,NA,NA,NA
"Respectable",100,1,41,41,2,5,2,5,5,6.188,1.131,5.333,5.316,4.842,"Thoughtful",3,46,26,351.264244315982,0.521046148294945,0.00427350427350427,0.679549114331723,0.238262910798122,0.00686955385707386,109,0.4765,314.21739838259,0.0823519405069678,9.53,20,0.555555555555556,0.230185661354631,0.520828483551078,0.207362374317154
"Enthusiastic",100,1,42,42,2,6,1,4,4,6.062,1.6,4.667,5.579,5,"Outgoing",4,12,27,201.299972850007,0.394137553668214,0.00381679389312977,0.577020202020202,0.209176788124157,0.00853540809683583,36,0.368666666666667,276.968751767392,0.0717999867356401,5.53,15,0.483870967741935,0.169676308828233,0.479215991276497,0.166710960419442
